Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,2600,0.764

2,1950,0.765

3,150,0.765

4,770,0.765

5,570,0.766

6,150,0.766

7,-770,0.767

8,870,0.767

9,760,0.768

10,3270,0.768

11,1600,0.769

12,990,0.769

13,800,0.770

14,890,0.770

15,10,0.771

16,-690,0.771

17,-1710,0.771

18,-230,0.772

19,1660,0.772

20,520,0.773

21,1020,0.773

22,810,0.774

23,-930,0.774

24,280,0.775

25,-730,0.775

26,-1110,0.776

27,540,0.776

28,1170,0.776

29,610,0.777

30,-1390,0.777

31,-490,0.778

32,-1810,0.778

33,-1550,0.779

34,-380,0.779

35,-1850,0.780

36,650,0.780

37,-1060,0.781

38,-3560,0.781

39,-1510,0.782

40,-350,0.782

41,-790,0.782

42,-730,0.783

43,-2420,0.783

44,-3080,0.784

45,-2950,0.784

46,-1950,0.785

47,-200,0.785

48,320,0.786

49,310,0.786

50,-1260,0.787

51,-1150,0.787

52,-860,0.788

53,-300,0.788

54,420,0.788

55,270,0.789

56,-120,0.789

57,-1460,0.790

58,-500,0.790

59,-1820,0.791

60,-1580,0.791

61,530,0.792

62,2100,0.792

63,-630,0.793

64,-510,0.793

65,-2060,0.793

66,1230,0.794

67,990,0.794

68,1150,0.795

69,-70,0.795

70,1410,0.796

71,2520,0.796

72,2160,0.797

73,1810,0.797

74,-560,0.798

75,660,0.798

76,2320,0.799

77,1180,0.799

78,2300,0.799

79,1690,0.800

80,-480,0.800

81,-500,0.801

82,-460,0.801

83,-1010,0.802

84,580,0.802

85,580,0.803

86,1420,0.803

87,990,0.804

88,780,0.804

89,2360,0.804

90,3290,0.805

91,3400,0.805

92,2530,0.806

93,2000,0.806

94,750,0.807

95,820,0.807

96,1550,0.808

97,120,0.808

98,-220,0.809

99,-590,0.809

100,190,0.810

101,-740,0.810

102,-1010,0.810

103,60,0.811

104,1030,0.811

105,960,0.812

106,270,0.812

107,-300,0.813

108,690,0.813

109,-320,0.814

110,1420,0.814

111,-1230,0.815

112,-200,0.815

113,-210,0.815

114,180,0.816

115,-960,0.816

116,-1620,0.817

117,-1880,0.817

118,-1870,0.818

119,-300,0.818

120,-1110,0.819

121,-3410,0.819

122,-2240,0.820

123,-1790,0.820

124,-1840,0.821

125,-3510,0.821

126,-2360,0.821

127,-2530,0.822

128,640,0.822

129,-310,0.823

130,-980,0.823

131,460,0.824

132,-600,0.824

133,-460,0.825

134,1010,0.825

135,2000,0.826

136,280,0.826

137,-210,0.826

138,-290,0.827

139,960,0.827

140,-120,0.828

141,-110,0.828

142,2420,0.829

143,560,0.829

144,1060,0.830

145,1730,0.830

146,440,0.831

147,1120,0.831

148,1110,0.832

149,460,0.832

150,780,0.832

151,-490,0.833

152,-1250,0.833

153,-490,0.834

154,-1360,0.834

155,-470,0.835

156,-180,0.835

157,-500,0.836

158,770,0.836

159,1680,0.837

160,-1080,0.837

161,900,0.837

162,550,0.838

163,110,0.838

164,1770,0.839

165,1810,0.839

166,850,0.840

167,860,0.840

168,130,0.841

169,520,0.841

170,10,0.842

171,240,0.842

172,110,0.843

173,1020,0.843

174,1500,0.843

175,2020,0.844

176,1740,0.844

177,-230,0.845

178,440,0.845

179,-1390,0.846

180,60,0.846

181,-1340,0.847

182,100,0.847

183,100,0.848

184,90,0.848

185,360,0.849

186,550,0.849

187,2160,0.849

188,740,0.850

189,800,0.850

190,280,0.851

191,-1230,0.851

192,-1550,0.852

193,-1060,0.852

194,400,0.853

195,140,0.853

196,-250,0.854

197,-910,0.854

198,-670,0.854

199,-1880,0.855

200,-2030,0.855

201,-1540,0.856

202,-280,0.856

203,200,0.857

204,-300,0.857

205,210,0.858

206,-310,0.858

207,670,0.859

208,250,0.859

209,620,0.860

210,-2500,0.860

211,-1610,0.860

212,420,0.861

213,-300,0.861

214,-1180,0.862

215,-3070,0.862

216,-1620,0.863

217,-2450,0.863

218,-190,0.864

219,-100,0.864

220,-360,0.865

221,-30,0.865

222,-1870,0.865

223,-2060,0.866

224,-2230,0.866

225,-840,0.867

226,-1100,0.867

227,-630,0.868

228,-1140,0.868

229,630,0.869

230,1960,0.869

231,290,0.870

232,2020,0.870

233,1510,0.871

234,1440,0.871

235,2150,0.871

236,760,0.872

237,1900,0.872

238,3080,0.873

239,930,0.873

240,1280,0.874

241,1490,0.874

242,3310,0.875

243,2220,0.875

244,3300,0.876

245,2490,0.876

246,550,0.876

247,-200,0.877

248,1700,0.877

249,1730,0.878

250,-440,0.878

251,-520,0.879

252,-1100,0.879

253,240,0.880

254,-470,0.880

255,100,0.881

256,-400,0.881

257,-370,0.882

258,940,0.882

259,-500,0.882

260,1500,0.883

261,1890,0.883

262,450,0.884

263,120,0.884

264,-980,0.885

265,-780,0.885

266,-1470,0.886

267,-1180,0.886

268,-2660,0.887

269,-1320,0.887

270,-2230,0.887

271,-1280,0.888

272,-970,0.888

273,320,0.889

274,-170,0.889

275,780,0.890

276,-230,0.890

277,610,0.891

278,750,0.891

279,-750,0.892

280,-1160,0.892

281,1430,0.893

282,-2500,0.893

283,-1750,0.893

284,-1770,0.894

285,-1620,0.894

286,-1080,0.895

287,-1070,0.895

288,-340,0.896

289,-210,0.896

290,450,0.897

291,470,0.897

292,-350,0.898

293,930,0.898

294,850,0.898

295,-1670,0.899

296,-2850,0.899

297,-750,0.900

298,-1520,0.900

299,-2110,0.901

300,150,0.901

301,690,0.902

302,-50,0.902

303,1020,0.903

304,30,0.903

305,960,0.904

306,0,0.904

307,40,0.904

308,1080,0.905

309,1170,0.905

310,-310,0.906

311,-390,0.906

312,-450,0.907

313,-1380,0.907

314,-70,0.908

315,-740,0.908

316,-360,0.909

317,-2690,0.909

318,-2410,0.910

319,30,0.910

320,-440,0.910

321,-570,0.911

322,-520,0.911

323,-1440,0.912

324,900,0.912

325,-950,0.913

326,560,0.913

327,-1190,0.914

328,1060,0.914

329,990,0.915

330,1580,0.915

331,1860,0.915

332,1040,0.916

333,1460,0.916

334,-690,0.917

335,-2050,0.917

336,30,0.918

337,-240,0.918

338,110,0.919

339,-420,0.919

340,-820,0.920

341,100,0.920

342,660,0.921

343,1610,0.921

344,520,0.921

345,1300,0.922

346,700,0.922

347,1000,0.923

348,-850,0.923

349,-820,0.924

350,-660,0.924

351,-1320,0.925

352,-600,0.925

353,-940,0.926

354,-1110,0.926

355,1010,0.926

356,750,0.927

357,820,0.927

358,80,0.928

359,1470,0.928

360,90,0.929

361,1430,0.929

362,610,0.930

363,-750,0.930

364,1520,0.931

365,320,0.931

366,680,0.932

367,460,0.932

368,-10,0.932

369,740,0.933

370,30,0.933

371,-840,0.934

372,-1750,0.934

373,460,0.935

374,-1740,0.935

375,-270,0.936

376,110,0.936

377,-620,0.937

378,600,0.937

379,1470,0.937

380,-880,0.938

381,-1100,0.938

382,-1350,0.939

383,-580,0.939

384,-280,0.940

385,570,0.940

386,1370,0.941

387,-1070,0.941

388,-2180,0.942

389,-1700,0.942

390,-580,0.943

391,290,0.943

392,1500,0.943

393,110,0.944

394,560,0.944

395,760,0.945

396,460,0.945

397,-310,0.946

398,-1220,0.946

399,-1750,0.947

400,-1900,0.947

401,-1830,0.948

402,-850,0.948

403,-1650,0.948

404,-1700,0.949

405,110,0.949

406,-1950,0.950

407,1770,0.950

408,400,0.951

409,430,0.951

410,-610,0.952

411,-2440,0.952

412,-2180,0.953

413,760,0.953

414,90,0.954

415,1460,0.954

