Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,-3591,0.434

2,3510,0.724

3,-885,0.724

4,3858,0.724

5,-32,0.724

6,6609,0.724

7,-1802,0.724

8,4459,0.724

9,3921,0.724

10,411,0.724

11,4649,0.724

12,6609,0.724

13,2372,0.724

14,4079,0.724

15,791,0.724

16,-1012,0.724

17,5502,0.724

18,2720,0.724

19,3226,0.724

20,8823,0.724

21,-3289,0.724

22,5281,0.724

23,221,0.724

24,6799,0.724

25,6925,0.724

26,4807,0.724

27,7937,0.724

28,2720,0.724

29,5566,0.724

30,3731,0.724

31,9582,0.724

32,-1423,0.724

33,1170,0.724

34,3194,0.724

35,4459,0.724

36,-917,0.724

37,2087,0.724

38,4585,0.724

39,1044,0.724

40,6072,0.724

41,2435,0.724

42,-3131,0.724

43,6483,0.724

44,-727,0.724

45,8064,0.724

46,5471,0.724

47,-2530,0.724

48,-3257,0.724

49,3826,0.724

50,3637,0.724

51,-2783,0.724

52,6925,0.724

53,-1297,0.724

54,-727,0.724

55,6325,0.724

56,3890,0.724

57,8981,0.724

58,10214,0.724

59,-2498,0.724

60,1328,0.724

61,6799,0.724

62,-917,0.724

63,8601,0.724

64,5534,0.724

65,1391,0.724

66,3162,0.724

67,2435,0.724

68,5091,0.724

69,-696,0.724

70,2119,0.724

71,2245,0.724

72,4617,0.724

73,2467,0.724

74,6135,0.724

75,3194,0.724

76,2688,0.724

77,7653,0.724

78,3858,0.724

79,6356,0.724

80,2498,0.724

81,8222,0.724

82,2245,0.724

83,6419,0.724

84,1739,0.724

85,4585,0.724

86,6925,0.724

87,-1328,0.724

88,7084,0.724

89,2435,0.724

90,-3226,0.724

91,6925,0.724

92,5502,0.724

93,-632,0.724

94,3890,0.724

95,-2498,0.724

96,759,0.724

97,10088,0.724

98,158,0.724

99,-221,0.724

100,2435,0.724

101,5091,0.724

102,-1708,0.724

103,7748,0.724

104,4617,0.724

105,126,0.724

106,1929,0.724

107,3194,0.724

108,-1044,0.724

109,4712,0.724

110,2530,0.724

111,2087,0.724

112,1107,0.724

113,2846,0.724

114,10214,0.724

115,-2498,0.724

116,3921,0.724

117,-221,0.724

118,4902,0.724

119,4554,0.724

120,3162,0.724

121,-32,0.724

122,2182,0.724

123,7431,0.724

124,-285,0.724

125,2688,0.724

126,-2625,0.724

127,8317,0.724

