Layer 1
Velocity0.15m/ns
Trace Nr, Depth  m
3,1.567

4,1.567

5,1.568

6,1.569

7,1.569

8,1.570

9,1.570

10,1.571

11,1.572

12,1.572

13,1.573

14,1.573

15,1.574

16,1.575

17,1.575

18,1.576

19,1.576

20,1.577

21,1.578

22,1.578

23,1.579

24,1.579

25,1.580

26,1.581

27,1.581

28,1.582

29,1.582

30,1.583

31,1.584

32,1.584

33,1.585

34,1.585

35,1.586

36,1.587

37,1.587

38,1.588

39,1.588

40,1.589

41,1.590

42,1.590

43,1.591

44,1.591

45,1.592

46,1.593

47,1.593

48,1.594

49,1.594

50,1.595

51,1.596

52,1.596

53,1.597

54,1.597

55,1.598

56,1.599

57,1.599

58,1.600

59,1.600

60,1.601

61,1.602

62,1.602

63,1.603

64,1.603

65,1.604

66,1.605

67,1.605

68,1.606

69,1.607

70,1.607

71,1.608

72,1.608

73,1.609

74,1.610

75,1.610

76,1.611

77,1.611

78,1.612

79,1.613

80,1.613

81,1.614

82,1.614

83,1.615

84,1.616

85,1.616

86,1.617

87,1.617

88,1.618

89,1.619

90,1.619

91,1.620

92,1.620

93,1.621

94,1.622

95,1.622

96,1.623

97,1.623

98,1.624

99,1.625

100,1.625

101,1.626

102,1.626

103,1.627

104,1.628

105,1.628

106,1.629

107,1.629

108,1.630

109,1.631

110,1.631

111,1.632

112,1.632

113,1.633

114,1.634

115,1.634

116,1.635

117,1.635

118,1.636

119,1.637

120,1.637

121,1.638

122,1.638

123,1.639

124,1.640

125,1.640

126,1.641

127,1.641

128,1.642

129,1.643

130,1.643

131,1.644

132,1.645

133,1.645

134,1.646

135,1.646

136,1.647

137,1.648

138,1.648

139,1.649

140,1.649

141,1.650

142,1.651

143,1.652

144,1.653

145,1.654

146,1.656

147,1.657

148,1.658

149,1.659

150,1.660

151,1.661

152,1.662

153,1.663

154,1.664

155,1.666

156,1.667

157,1.668

158,1.669

159,1.670

160,1.671

161,1.672

162,1.673

163,1.674

164,1.676

165,1.677

166,1.678

167,1.679

168,1.680

169,1.681

170,1.682

171,1.683

172,1.684

173,1.685

174,1.687

175,1.688

176,1.689

177,1.690

178,1.691

179,1.692

180,1.693

181,1.694

182,1.695

183,1.697

184,1.698

185,1.699

186,1.700

187,1.701

188,1.702

189,1.703

190,1.704

191,1.705

192,1.707

193,1.708

194,1.709

195,1.710

196,1.711

197,1.712

198,1.713

199,1.714

200,1.715

201,1.717

202,1.718

203,1.719

204,1.720

205,1.721

206,1.722

207,1.723

208,1.724

209,1.725

210,1.727

211,1.728

212,1.729

213,1.730

214,1.731

215,1.732

216,1.733

217,1.734

218,1.735

219,1.736

220,1.738

221,1.739

222,1.740

223,1.741

224,1.742

225,1.743

226,1.744

227,1.745

228,1.746

229,1.748

230,1.749

231,1.750

232,1.751

233,1.752

234,1.753

235,1.754

236,1.755

237,1.756

238,1.758

239,1.759

240,1.760

241,1.761

242,1.762

243,1.763

244,1.764

245,1.765

246,1.766

247,1.768

248,1.769

249,1.770

250,1.771

251,1.772

252,1.773

253,1.774

254,1.775

255,1.776

256,1.777

257,1.779

258,1.780

259,1.781

260,1.782

261,1.783

262,1.784

263,1.785

264,1.786

265,1.787

266,1.789

267,1.790

268,1.791

269,1.792

270,1.793

271,1.794

272,1.795

273,1.796

274,1.797

275,1.799

276,1.800

277,1.801

278,1.802

279,1.803

280,1.804

281,1.805

282,1.806

283,1.807

284,1.809

285,1.810

286,1.811

287,1.812

288,1.813

289,1.814

290,1.815

291,1.816

292,1.817

293,1.818

294,1.820

295,1.821

296,1.822

297,1.823

298,1.824

299,1.825

300,1.826

301,1.827

302,1.828

303,1.830

304,1.831

305,1.832

306,1.833

307,1.834

308,1.835

309,1.836

310,1.837

311,1.838

312,1.840

313,1.841

314,1.842

315,1.843

316,1.844

317,1.845

318,1.846

319,1.847

320,1.848

321,1.850

322,1.851

323,1.852

324,1.853

325,1.854

326,1.855

327,1.856

328,1.857

329,1.858

