Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
5,231,0.956

6,136,0.956

7,541,0.956

8,253,0.956

9,240,0.956

10,319,0.956

11,108,0.956

12,-104,0.956

13,-158,0.956

14,-218,0.956

15,-825,0.957

16,-259,0.957

17,-310,0.957

18,-319,0.957

19,-101,0.957

20,617,0.957

21,-54,0.957

22,158,0.957

23,199,0.957

24,414,0.957

25,139,0.957

26,478,0.958

27,247,0.958

28,126,0.958

29,-28,0.958

30,-259,0.958

31,-595,0.958

32,-765,0.958

33,-243,0.958

34,-66,0.958

35,642,0.958

36,158,0.959

37,383,0.959

38,-389,0.959

39,-190,0.959

40,-936,0.959

41,-487,0.959

42,-332,0.959

43,-158,0.959

44,-22,0.959

45,297,0.959

46,92,0.959

47,70,0.960

48,-402,0.960

49,-212,0.960

50,-620,0.960

51,-560,0.960

52,-474,0.960

53,60,0.960

54,-149,0.960

55,-471,0.960

56,171,0.960

57,-9,0.960

58,76,0.961

59,405,0.961

60,288,0.961

61,-465,0.961

62,-712,0.961

63,-620,0.961

64,-326,0.961

65,0,0.961

66,-123,0.961

67,392,0.961

68,164,0.962

69,-705,0.962

70,-421,0.962

71,-923,0.962

72,-550,0.962

73,-35,0.962

74,171,0.962

75,607,0.962

76,474,0.962

77,-275,0.962

78,-468,0.962

79,-500,0.963

80,-294,0.963

81,-149,0.963

82,228,0.963

83,108,0.963

84,-269,0.963

85,-500,0.963

86,-462,0.963

87,73,0.963

88,123,0.963

89,89,0.963

90,187,0.964

91,-478,0.964

92,-16,0.964

93,313,0.964

94,-85,0.964

95,243,0.964

96,174,0.964

97,-465,0.964

98,-152,0.964

99,-136,0.964

100,-32,0.965

101,-16,0.965

102,-364,0.965

103,-481,0.965

104,-35,0.965

105,215,0.965

106,-82,0.965

107,266,0.965

108,28,0.965

109,-702,0.965

110,-610,0.965

111,-515,0.966

112,-35,0.966

113,202,0.966

114,398,0.966

115,-32,0.966

116,-262,0.966

117,-500,0.966

118,-414,0.966

119,-500,0.966

120,-481,0.966

121,-626,0.967

122,-392,0.967

123,-737,0.967

124,6,0.967

125,101,0.967

126,70,0.967

127,19,0.967

128,-256,0.967

129,-228,0.967

130,-215,0.967

131,-889,0.967

132,-329,0.968

133,-190,0.968

134,63,0.968

135,-38,0.968

136,323,0.968

137,243,0.968

138,-142,0.968

139,-651,0.968

140,-503,0.968

141,-161,0.968

142,0,0.968

143,-16,0.969

144,-19,0.969

145,259,0.969

146,120,0.969

147,82,0.969

148,-452,0.969

149,-601,0.969

150,-348,0.969

151,-193,0.969

152,-512,0.969

153,-22,0.970

154,190,0.970

155,152,0.970

156,383,0.970

157,259,0.970

158,130,0.970

159,-218,0.970

160,-503,0.970

161,-610,0.970

162,-509,0.970

163,-557,0.970

164,234,0.971

165,-25,0.971

166,-149,0.971

167,427,0.971

168,206,0.971

169,120,0.971

170,13,0.971

171,0,0.971

172,-398,0.971

173,-708,0.971

174,-307,0.971

175,-901,0.972

176,-152,0.972

177,28,0.972

178,0,0.972

179,-63,0.972

180,149,0.972

181,-35,0.972

182,-405,0.972

183,-364,0.972

184,-645,0.972

185,-481,0.973

186,-158,0.973

187,-60,0.973

188,275,0.973

189,-38,0.973

190,-225,0.973

191,-199,0.973

192,-414,0.973

193,193,0.973

194,455,0.973

195,-161,0.973

196,221,0.974

197,-231,0.974

198,-613,0.974

199,-598,0.974

200,-316,0.974

201,243,0.974

202,-9,0.974

203,310,0.974

204,190,0.974

205,275,0.974

206,250,0.974

207,490,0.975

208,-269,0.975

209,-19,0.975

210,-632,0.975

211,-243,0.975

212,-430,0.975

213,-626,0.975

214,-161,0.975

215,66,0.975

216,-54,0.975

217,237,0.976

218,465,0.976

219,-3,0.976

220,19,0.976

221,-623,0.976

222,-857,0.976

223,-946,0.976

224,-379,0.976

225,-724,0.976

226,-408,0.976

227,262,0.976

228,41,0.977

229,161,0.977

230,-161,0.977

231,25,0.977

232,-604,0.977

233,-383,0.977

234,-351,0.977

235,-171,0.977

236,215,0.977

237,-152,0.977

238,-557,0.977

239,-825,0.978

240,-490,0.978

241,-136,0.978

242,253,0.978

243,433,0.978

244,-158,0.978

245,-98,0.978

246,-822,0.978

247,3,0.978

248,190,0.978

249,92,0.979

250,-851,0.979

251,-398,0.979

252,3,0.979

253,183,0.979

254,534,0.979

255,-89,0.979

256,-357,0.979

257,-225,0.979

258,136,0.979

259,92,0.979

260,281,0.980

261,-247,0.980

262,-73,0.980

263,-370,0.980

264,-487,0.980

265,-101,0.980

266,490,0.980

267,193,0.980

268,212,0.980

269,-120,0.980

270,177,0.981

271,291,0.981

272,-553,0.981

273,-737,0.981

274,-177,0.981

275,-515,0.981

276,-32,0.981

277,307,0.981

278,73,0.981

279,-22,0.981

280,199,0.981

281,-130,0.982

282,-588,0.982

283,-632,0.982

284,-168,0.982

285,28,0.982

286,455,0.982

287,288,0.982

288,-190,0.982

289,-272,0.982

290,-623,0.982

291,-111,0.982

292,-190,0.983

293,-6,0.983

294,449,0.983

295,313,0.983

296,259,0.983

297,386,0.983

298,-161,0.983

299,-174,0.983

300,-661,0.983

301,-661,0.983

302,-332,0.984

303,-345,0.984

304,-104,0.984

305,-408,0.984

306,-32,0.984

307,85,0.984

308,-47,0.984

309,92,0.984

310,54,0.984

311,307,0.984

312,281,0.984

313,231,0.985

314,-383,0.985

315,-256,0.985

316,-528,0.985

317,-727,0.985

318,-180,0.985

319,-569,0.985

320,-825,0.985

321,-414,0.985

322,-345,0.985

323,215,0.985

324,550,0.986

325,316,0.986

326,515,0.986

327,670,0.986

328,620,0.986

329,-126,0.986

330,-133,0.986

331,-155,0.986

332,-481,0.986

333,130,0.986

334,-509,0.987

335,-569,0.987

336,-579,0.987

337,-174,0.987

338,-206,0.987

339,199,0.987

340,-6,0.987

341,95,0.987

342,572,0.987

343,563,0.987

344,32,0.987

345,212,0.988

346,237,0.988

347,218,0.988

348,285,0.988

349,180,0.988

350,98,0.988

351,446,0.988

352,357,0.988

353,130,0.988

354,-354,0.988

355,155,0.988

356,269,0.989

357,538,0.989

358,126,0.989

359,-32,0.989

360,196,0.989

361,-89,0.989

362,-338,0.989

363,-66,0.989

364,82,0.989

365,-180,0.989

366,-60,0.990

367,-231,0.990

368,278,0.990

369,-202,0.990

370,-63,0.990

371,-63,0.990

372,-63,0.990

373,-202,0.990

374,95,0.990

375,199,0.990

376,-126,0.990

377,-174,0.991

378,79,0.991

379,209,0.991

380,-89,0.991

381,-405,0.991

382,-120,0.991

383,-123,0.991

384,126,0.991

385,648,0.991

386,171,0.991

387,585,0.992

388,702,0.992

389,370,0.992

390,417,0.992

391,642,0.992

392,300,0.992

393,234,0.992

394,538,0.992

395,193,0.992

396,13,0.992

397,288,0.992

398,424,0.993

399,288,0.993

400,645,0.993

401,367,0.993

402,775,0.993

403,370,0.993

404,712,0.993

405,626,0.993

406,683,0.993

407,259,0.993

408,648,0.993

409,1085,0.994

410,262,0.994

411,503,0.994

412,632,0.994

413,936,0.994

414,585,0.994

415,977,0.994

416,629,0.994

417,582,0.994

418,607,0.994

419,243,0.995

420,-114,0.995

421,-417,0.995

422,-13,0.995

423,-63,0.995

424,-168,0.995

425,607,0.995

426,-104,0.995

427,111,0.995

428,408,0.995

429,76,0.995

430,721,0.996

431,753,0.996

432,759,0.996

433,522,0.996

434,576,0.996

435,585,0.996

436,-47,0.996

437,310,0.996

438,421,0.996

439,155,0.996

440,582,0.996

441,-215,0.997

442,-196,0.997

443,133,0.997

444,-218,0.997

445,-218,0.997

446,95,0.997

447,329,0.997

448,-212,0.997

449,262,0.997

450,342,0.997

451,749,0.998

452,639,0.998

453,588,0.998

454,405,0.998

455,648,0.998

456,484,0.998

457,598,0.998

458,791,0.998

