Layer 1
Velocity0.033m/ns
Trace Nr,Amplitude , Depth  m
1,459,0.840

2,522,0.840

3,572,0.840

4,632,0.840

5,569,0.840

6,806,0.840

7,550,0.840

8,307,0.840

9,576,0.840

10,136,0.840

11,253,0.840

12,354,0.840

13,76,0.840

14,648,0.840

15,493,0.840

16,613,0.840

17,971,0.840

18,1081,0.840

19,715,0.840

20,705,0.840

21,737,0.840

22,316,0.840

23,38,0.840

24,392,0.840

25,958,0.840

26,756,0.840

27,835,0.840

28,572,0.840

29,234,0.840

30,683,0.840

31,114,0.840

32,639,0.840

33,572,0.840

34,402,0.840

35,791,0.840

36,803,0.840

37,955,0.840

38,626,0.840

39,120,0.840

40,-60,0.840

41,427,0.840

42,452,0.840

43,550,0.840

44,737,0.840

45,585,0.840

46,613,0.840

47,642,0.840

48,247,0.840

49,180,0.840

50,474,0.840

51,693,0.840

52,1034,0.840

53,471,0.840

54,538,0.840

55,636,0.840

56,-452,0.840

57,-3,0.840

58,528,0.840

59,487,0.840

60,389,0.840

61,734,0.840

62,863,0.840

63,708,0.840

64,636,0.840

65,253,0.840

66,446,0.840

67,503,0.840

68,449,0.840

69,946,0.840

70,743,0.840

71,626,0.840

72,243,0.840

73,642,0.840

74,718,0.840

75,610,0.840

76,259,0.840

77,560,0.840

78,462,0.840

79,835,0.840

80,696,0.840

81,651,0.840

82,376,0.840

83,566,0.840

84,794,0.840

85,857,0.840

86,1009,0.840

87,636,0.840

88,247,0.840

89,787,0.840

90,964,0.840

91,800,0.840

92,111,0.840

93,430,0.840

94,433,0.840

95,778,0.840

96,892,0.840

97,553,0.840

98,310,0.840

99,19,0.840

100,784,0.840

101,854,0.840

102,636,0.840

103,174,0.840

104,-51,0.840

105,345,0.840

106,414,0.840

107,806,0.840

108,563,0.840

109,730,0.840

110,525,0.840

111,9,0.840

112,-47,0.840

113,534,0.840

114,544,0.840

115,1366,0.840

116,557,0.840

117,332,0.840

118,-117,0.840

119,579,0.840

120,515,0.840

121,427,0.840

122,250,0.840

123,566,0.840

124,670,0.840

125,873,0.840

126,702,0.840

127,626,0.840

128,-60,0.840

129,566,0.840

130,164,0.840

131,696,0.840

132,449,0.840

133,1347,0.840

134,598,0.840

135,705,0.840

136,648,0.840

137,304,0.840

138,449,0.840

139,19,0.840

140,610,0.840

141,569,0.840

142,670,0.840

143,797,0.840

144,553,0.840

145,569,0.840

146,319,0.840

147,664,0.840

148,332,0.840

149,715,0.840

150,576,0.840

151,-35,0.840

152,661,0.840

153,693,0.840

154,863,0.840

155,538,0.840

156,651,0.840

157,-35,0.840

158,335,0.840

159,506,0.840

160,832,0.840

161,553,0.840

162,645,0.840

163,642,0.840

164,408,0.840

165,519,0.840

