Layer 1
Velocity0.033m/ns
Trace Nr, Depth  m
11,0.163

24,0.163

37,0.163

43,0.165

56,0.165

62,0.165

69,0.165

75,0.167

82,0.173

94,0.175

101,0.177

107,0.182

114,0.184

126,0.184

133,0.200

139,0.211

146,0.211

152,0.221

158,0.223

171,0.231

178,0.231

184,0.231

190,0.233

197,0.233

203,0.239

216,0.239

222,0.244

235,0.246

242,0.248

248,0.254

261,0.266

274,0.285

280,0.289

286,0.293

293,0.295

306,0.297

312,0.305

318,0.310

325,0.318

331,0.324

338,0.328

350,0.332

357,0.336

370,0.341

376,0.345

382,0.349

389,0.349

395,0.357

401,0.359

414,0.365

421,0.372

433,0.378

440,0.380

446,0.390

459,0.390

465,0.390

478,0.392

485,0.392

491,0.394

497,0.396

504,0.396

517,0.396

523,0.400

529,0.402

542,0.407

549,0.407

555,0.407

568,0.411

574,0.413

587,0.413

593,0.417

600,0.417

606,0.417

613,0.417

625,0.419

632,0.419

638,0.423

645,0.425

657,0.427

664,0.427

670,0.429

677,0.435

683,0.435

689,0.438

702,0.444

709,0.450

721,0.450

728,0.450

734,0.450

741,0.452

747,0.454

753,0.460

766,0.462

773,0.466

779,0.466

785,0.469

792,0.469

798,0.471

811,0.475

817,0.481

836,0.481

843,0.481

856,0.481

868,0.483

881,0.483

888,0.485

900,0.485

907,0.485

920,0.489

926,0.489

932,0.491

945,0.493

952,0.495

958,0.497

964,0.497

971,0.502

977,0.506

990,0.510

996,0.512

1016,0.514

1022,0.514

1028,0.514

1035,0.518

1041,0.520

1048,0.522

1054,0.522

1067,0.528

1073,0.528

1086,0.532

1099,0.532

1105,0.535

1124,0.537

1131,0.539

1144,0.545

1156,0.545

1163,0.545

1169,0.545

1176,0.549

1188,0.549

1195,0.551

1201,0.551

1207,0.551

1214,0.553

1227,0.553

1233,0.553

1239,0.553

1246,0.555

1252,0.555
