Layer 1
Velocity0.033m/ns
Trace Nr, Depth  m
17,0.520

23,0.520

41,0.520

53,0.526

60,0.526

66,0.530

78,0.530

90,0.532

102,0.535

115,0.535

121,0.535

127,0.535

133,0.535

139,0.535

140,0.539

145,0.541

151,0.541

157,0.539

163,0.547

170,0.553

182,0.557

188,0.557

194,0.561

200,0.566

206,0.566

212,0.586

218,0.603

231,0.623

237,0.629

243,0.632

249,0.636

255,0.638

273,0.638

280,0.638

292,0.642

304,0.642

316,0.642

322,0.642

336,0.642

341,0.642

347,0.642

353,0.642

365,0.642

371,0.632

383,0.619

385,0.601

390,0.615

396,0.615

402,0.592

408,0.588

414,0.582

420,0.582

457,0.588

458,0.584

475,0.592

481,0.594

487,0.594

493,0.596

500,0.596

512,0.599

518,0.601

524,0.603

536,0.605

548,0.607

555,0.609

561,0.611

567,0.613

579,0.613

585,0.615

591,0.615

603,0.617

609,0.617

622,0.621

628,0.625

646,0.625

652,0.627

664,0.629

671,0.634

677,0.636

683,0.638

689,0.638

695,0.648

707,0.652

713,0.660

719,0.667

726,0.669

732,0.679

744,0.687

750,0.689

756,0.696

762,0.696

768,0.698

774,0.702

781,0.706

793,0.710

799,0.710

805,0.712

817,0.714

823,0.714

836,0.718

842,0.720

854,0.722

866,0.727

878,0.731

884,0.735

891,0.735

897,0.735

903,0.739

915,0.739

921,0.743

927,0.743

933,0.743

939,0.745

952,0.749

964,0.753

970,0.753

988,0.753

994,0.753

1007,0.760

1013,0.760

1025,0.762

1037,0.766

1049,0.766

1056,0.768

1068,0.770

1074,0.772

1092,0.772

1104,0.774

1123,0.778

1135,0.778

1141,0.780

1147,0.782

1166,0.782

1172,0.782

1178,0.782

1184,0.782

1190,0.784

1202,0.784

1208,0.784

1220,0.784

1227,0.784

1233,0.784

1239,0.784

1245,0.784

1257,0.784

1263,0.784

1288,0.784

1294,0.784

1306,0.784

1312,0.784

1324,0.784

1330,0.786

1343,0.788

1361,0.793

1373,0.793

1379,0.793

1398,0.795

1404,0.795

1416,0.795

1422,0.795

1434,0.795

1471,0.799

1483,0.799

1495,0.799

1502,0.799

1508,0.799

1514,0.799

1520,0.799

1532,0.799

1538,0.799

1544,0.799

1550,0.799

1557,0.799

1569,0.799

1575,0.799

1587,0.803

1593,0.803

1605,0.803

1624,0.803

