Layer 1
Velocity0.033m/ns
Trace Nr, Depth  m
11,0.528

17,0.532

35,0.535

41,0.535

47,0.535

53,0.539

60,0.539

72,0.543

78,0.543

90,0.543

96,0.543

102,0.543

108,0.543

115,0.543

121,0.543

127,0.543

133,0.543

139,0.545

145,0.547

163,0.547

170,0.551

182,0.551

188,0.566

194,0.566

200,0.566

206,0.566

212,0.566

225,0.568

231,0.570

243,0.570

249,0.576

261,0.576

267,0.578

273,0.578

280,0.582

286,0.582

292,0.582

304,0.584

310,0.586

316,0.586

328,0.588

335,0.588

347,0.588

359,0.588

377,0.588

383,0.588

396,0.588

402,0.588

408,0.588

414,0.588

432,0.588

438,0.588

451,0.584

463,0.580

469,0.580

481,0.582

493,0.582

500,0.586

506,0.588

512,0.590

518,0.594

524,0.596

530,0.601

536,0.605

542,0.609

548,0.609

555,0.609

561,0.609

567,0.613

573,0.613

579,0.615

591,0.615

603,0.617

609,0.619

622,0.621

628,0.621

634,0.621

640,0.625

652,0.627

671,0.632

677,0.636

683,0.640

689,0.644

695,0.650

701,0.652

713,0.663

726,0.665

738,0.671

744,0.675

750,0.681

756,0.685

774,0.693

781,0.704

793,0.712

805,0.714

817,0.718

823,0.724

829,0.724

842,0.731

848,0.733

860,0.735

866,0.739

872,0.743

884,0.749

891,0.749

894,0.747

897,0.749

909,0.753

921,0.753

927,0.757

939,0.760

946,0.764

952,0.766

958,0.768

964,0.772

976,0.774

982,0.774

988,0.774

994,0.774

1007,0.774

1013,0.774

1019,0.774

1025,0.774

1037,0.774

1043,0.774

1049,0.774

1056,0.774

1062,0.774

1068,0.776

1080,0.780

1086,0.786

1092,0.786

1104,0.786

1123,0.790

1129,0.790

1141,0.790

1147,0.793

1172,0.793

1178,0.793

1190,0.793

1196,0.793

1208,0.793

1214,0.795

1233,0.795

1239,0.795

1251,0.797

1257,0.801

1269,0.801

1275,0.801

1282,0.805

1294,0.805

1312,0.807

1318,0.809

1330,0.809

1361,0.811

1410,0.813

1422,0.813

1434,0.813

1440,0.813

1447,0.813

1459,0.813

1465,0.813

1495,0.813

1508,0.817

1520,0.817

1526,0.817

1532,0.817

1538,0.817

1544,0.817

1550,0.819

1569,0.819

1581,0.819

1587,0.819

1599,0.819

1605,0.819

1612,0.819

1618,0.819

1636,0.819

1642,0.819

1648,0.819

1654,0.819

1667,0.819

1679,0.819

1685,0.819

1697,0.819

1703,0.819

1709,0.819

1715,0.819

1722,0.819

1734,0.819

1740,0.819

1752,0.819

1764,0.819

1770,0.819

1777,0.819

1783,0.819

1789,0.819

1801,0.819

1813,0.819

1819,0.819

1831,0.819

1838,0.824

1844,0.824

1856,0.828

1868,0.828

1880,0.828

1886,0.828

1899,0.830

1905,0.830

1911,0.830

1923,0.832

1929,0.832

1941,0.832

1948,0.832

1960,0.832

1972,0.832

1984,0.832

1990,0.832

2003,0.832

2009,0.832

2015,0.832

2027,0.832

2039,0.832

2051,0.832

2076,0.832

2082,0.832

2088,0.832

2094,0.832

2100,0.834

2106,0.834

2113,0.838

2119,0.838

2125,0.842

2131,0.842

2161,0.842

2168,0.842

2180,0.842

2186,0.842

2198,0.842

2210,0.842

2216,0.842

2229,0.842

2247,0.842

2253,0.840

2265,0.840

2271,0.840

2278,0.838

2290,0.838

2296,0.834

2308,0.834

2314,0.838

2316,0.838

2333,0.838

2339,0.838

2351,0.838

2357,0.838

2369,0.838

2381,0.838

2387,0.838

2400,0.838

2412,0.838

2418,0.838

2430,0.838

2436,0.838

2442,0.838

2449,0.838

2455,0.838

2467,0.838

2473,0.838

2479,0.838

2485,0.838

2504,0.838

2522,0.838

2546,0.836

2552,0.836

2559,0.836

2565,0.836

2571,0.834

2583,0.834

2614,0.834

2620,0.832

2626,0.832

2632,0.832

2650,0.830

2656,0.830

