Layer 1
Velocity0.033m/ns
Trace Nr, Depth  m
179,0.299

180,0.299

181,0.300

182,0.300

183,0.300

184,0.300

185,0.300

186,0.300

187,0.300

188,0.300

189,0.300

190,0.301

191,0.301

192,0.301

193,0.301

194,0.301

195,0.301

196,0.301

197,0.301

198,0.301

199,0.302

200,0.302

201,0.302

202,0.302

203,0.302

204,0.302

205,0.302

206,0.302

207,0.303

208,0.303

209,0.303

210,0.303

211,0.303

212,0.303

213,0.303

214,0.303

215,0.303

216,0.304

217,0.304

218,0.304

219,0.304

220,0.304

221,0.304

222,0.304

223,0.304

224,0.305

225,0.305

226,0.305

227,0.305

228,0.305

229,0.305

230,0.305

231,0.305

232,0.305

233,0.306

234,0.306

235,0.306

236,0.306

237,0.306

238,0.306

239,0.306

240,0.306

241,0.307

242,0.307

243,0.307

244,0.307

245,0.307

246,0.307

247,0.307

248,0.307

249,0.307

250,0.308

251,0.308

252,0.308

253,0.308

254,0.308

255,0.308

256,0.308

257,0.308

258,0.308

259,0.309

260,0.309

261,0.309

262,0.309

263,0.309

264,0.309

265,0.309

266,0.309

267,0.310

268,0.310

269,0.310

270,0.310

271,0.310

272,0.310

273,0.310

274,0.310

275,0.310

276,0.311

277,0.311

278,0.311

279,0.311

280,0.311

281,0.311

282,0.311

283,0.311

284,0.312

285,0.312

286,0.312

287,0.312

288,0.312

289,0.312

290,0.312

291,0.312

292,0.312

293,0.313

294,0.313

295,0.313

296,0.313

297,0.313

298,0.313

299,0.313

300,0.313

301,0.314

302,0.314

303,0.314

304,0.314

305,0.314

306,0.314

307,0.314

308,0.314

309,0.314

310,0.315

311,0.315

312,0.315

313,0.315

314,0.315

315,0.315

316,0.315

317,0.315

318,0.316

319,0.316

320,0.316

321,0.316

322,0.316

323,0.316

324,0.316

325,0.316

326,0.316

327,0.317

328,0.317

329,0.317

330,0.317

331,0.317

332,0.317

333,0.317

334,0.317

335,0.317

336,0.318

337,0.318

338,0.318

339,0.319

340,0.320

341,0.320

342,0.321

343,0.322

344,0.322

345,0.323

346,0.324

347,0.324

348,0.325

349,0.325

350,0.326

351,0.327

352,0.327

353,0.328

354,0.329

355,0.329

356,0.330

357,0.331

358,0.331

359,0.332

360,0.332

361,0.333

362,0.334

363,0.334

364,0.335

365,0.336

366,0.336

367,0.337

368,0.338

369,0.338

370,0.339

371,0.339

372,0.340

373,0.341

374,0.341

375,0.342

376,0.343

377,0.343

378,0.344

379,0.344

380,0.345

381,0.346

382,0.346

383,0.347

384,0.348

385,0.348

386,0.349

387,0.350

388,0.350

389,0.351

390,0.351

391,0.352

392,0.353

393,0.353

394,0.354

395,0.355

396,0.355

397,0.356

398,0.357

399,0.357

400,0.358

401,0.358

402,0.359

403,0.360

404,0.360

405,0.361

406,0.362

407,0.362

408,0.363

409,0.364

410,0.364

411,0.365

412,0.365

413,0.366

414,0.367

415,0.367

416,0.368

417,0.369

418,0.369

419,0.370

420,0.370

421,0.371

422,0.372

423,0.372

424,0.373

425,0.374

426,0.374

427,0.375

428,0.376

429,0.376

430,0.377

431,0.377

432,0.378

433,0.379

434,0.379

435,0.380

436,0.381

437,0.381

438,0.382

439,0.383

440,0.383

441,0.384

442,0.384

443,0.385

444,0.386

445,0.386

446,0.387

447,0.388

448,0.388

449,0.389

450,0.390

451,0.390

452,0.391

453,0.391

454,0.392

455,0.393

456,0.393

457,0.394

458,0.395

459,0.395

460,0.396

461,0.396

462,0.397

463,0.398

464,0.398

465,0.399

466,0.400

467,0.400

468,0.401

469,0.402

470,0.402

471,0.403

472,0.403

473,0.404

474,0.405

475,0.405

476,0.406

477,0.407

478,0.407

479,0.408

480,0.409

481,0.409

482,0.410

483,0.410

484,0.411

485,0.412

486,0.412

487,0.413

488,0.414

489,0.414

490,0.415

491,0.416

492,0.416

493,0.417

494,0.417

495,0.418

496,0.419

497,0.419

498,0.420

499,0.421

500,0.421

501,0.422

502,0.423

503,0.423

504,0.424

505,0.424

506,0.425

507,0.426

508,0.426

509,0.427

510,0.428

511,0.428

512,0.429

513,0.429

514,0.430

515,0.431

516,0.431

517,0.432

518,0.433

519,0.433

520,0.434

521,0.435

522,0.435

523,0.436

524,0.436

525,0.437

526,0.438

527,0.438

528,0.439

529,0.440

530,0.440

531,0.441

532,0.442

533,0.442

534,0.443

535,0.443

536,0.444

537,0.445

538,0.445

539,0.446

540,0.447

541,0.448

542,0.448

543,0.448

544,0.448

545,0.448

546,0.449

547,0.449

548,0.449

549,0.449

550,0.449

551,0.449

552,0.450

553,0.450

554,0.450

555,0.450

556,0.450

